f,gain,split
nextClick,2583978.55,87
nextClick_shift,2754.96,1
app,39303690.19,106
device,176154.05,13
os,1176151.35,85
channel,5941304.57,171
hour,475424.99,32
day,0.00,0
ip_tcount,311296.56,18
ip_tchan_count,2318.74,1
ip_app_count,1901801.96,11
ip_app_os_count,54832.38,5
ip_app_os_var,18723.62,5
ip_app_channel_var_day,11086.67,2
ip_app_channel_mean_hour,7707.74,3
X0,281164.13,17
X1,7584.38,1
X2,6229.07,3
X3,381893.58,11
X4,134277.00,1
X5,7923.65,2
X6,75024.84,8
X7,7650.54,3
X8,688947.92,13
ip_count_roll,28560.94,7
ipday_count_roll,17382.34,2
ipday_count,2198705.45,16
