f,gain,split
channel,3809999.952819824,419
os,3287809.5625,279
app,6809351.187438965,194
hour,1304485.228942871,178
next_click_dt,7640454.014770508,141
ip_mean_target,988459.6721191406,56
channel_cnt_ip_day_hour,723175.4591064453,49
app_mean_target,129799190.09991074,41
channel_nunique_ip,2214731.820678711,35
app_nunique_ip,3465685.9778442383,34
app_nunique_ip_device_os,712794.1888427734,31
hour_nunique_ip_day,1992937.2130126953,28
channel_mean_target,14753492.52734375,28
device,431559.1067504883,27
os_nunique_ip_app,130624.98071289062,23
channel_cnt_ip_app_os,177629.81188964844,21
next_click_dt_ia,959543.6732177734,20
app_cumcnt_ip_device_os,557481.2319946289,20
device_nunique_ip,472381.14892578125,19
device_cnt_ip_app_os_channel_day_hour,80337.20080566406,18
hour_mean_target,163447.2088623047,15
ip,50011.97937011719,13
next_click_dt_adc,93466.615234375,13
channel_cnt_ip_app,90148.52075195312,13
next_click_dt_iod,95866.13763427734,11
shift_iptcnt,187505.421875,10
os_cumcnt_ip,35843.32971191406,8
next_click_dt_dc,2001.8369445800781,2
